Student ID,Age,Gender,Learning Disabilities,Enrollment Date,Subscription Type,Cumulative Learning Progress (%),Retention Rate (weekly),Retention Rate (monthly),Time to Master Key Concepts,Math,Science,History,English,Geography,Quiz Session Date,Quiz ID,Quiz Topic/Subject,Quiz Score,Time Spent on Quiz,Flashcards Used,Flashcard Accuracy,Total Active Sessions (weekly),Session Duration,Device Used,Satisfaction Rating,Feedback Type,Date of Feedback,Comments/Sentiment
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-08-12,Q7,History,57,9,No,93.0,3,45,Mobile,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-04-30,Q1,English,67,9,No,85.0,4,39,Mobile,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-04-13,Q1,Geography,60,9,No,77.0,2,109,Mobile,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-08-10,Q7,Geography,52,12,No,,4,97,Desktop,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-08-10,Q4,Math,98,18,Yes,,2,135,Desktop,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-01-26,Q8,Math,85,24,Yes,81.0,2,34,Mobile,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-03-08,Q12,History,53,22,No,98.0,3,165,Desktop,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-05-24,Q8,Science,68,24,No,,4,55,Mobile,,,,
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-05-30,Q16,Math,96,19,Yes,,3,170,Mobile,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-02-09,Q5,Science,76,7,Yes,,4,172,Desktop,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-06-19,Q18,Math,97,13,Yes,87.0,2,151,Desktop,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-02-14,Q20,History,69,18,No,,4,108,Desktop,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-01-09,Q12,English,84,12,Yes,,2,175,Mobile,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-07-11,Q8,Science,65,9,Yes,,4,167,Desktop,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-07-09,Q19,English,61,23,No,83.0,2,38,Mobile,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-01-24,Q18,History,73,21,Yes,71.0,4,98,Mobile,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-02-05,Q2,Science,74,12,Yes,64.0,4,63,Desktop,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-07-16,Q14,Science,57,12,Yes,,2,95,Desktop,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-05-13,Q9,Science,62,14,Yes,60.0,2,118,Desktop,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-06-03,Q5,English,95,14,No,,2,132,Desktop,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-06-02,Q4,English,75,8,Yes,76.0,2,158,Desktop,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-05-08,Q3,Geography,86,8,Yes,76.0,2,84,Mobile,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-03-23,Q2,Math,74,16,No,,2,84,Desktop,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-04-05,Q11,Science,61,13,Yes,98.0,2,92,Mobile,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-05-15,Q20,Science,60,10,Yes,87.0,2,142,Desktop,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-01-17,Q10,History,94,10,No,84.0,4,81,Mobile,4.0,Bug,2025-07-30,Neutral
b5243d42-0d3a-4db4-8aa3-aa903f06ec72,22,Male,ND,2022-04-16,Free,80.54637213170717,0.8450319554384,0.5625548407723329,11,53.93095498008742,76.16187299313319,75.8548881001855,66.32778895294355,83.13509802323267,2025-02-22,Q17,Science,70,10,Yes,,2,72,Desktop,4.0,Bug,2025-07-30,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-04-07,Q2,Geography,54,5,Yes,,2,129,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-08-10,Q14,Geography,50,14,Yes,,3,164,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-07-05,Q13,History,93,10,Yes,74.0,3,95,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-07-06,Q2,Science,81,21,No,,2,149,Mobile,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-07-22,Q13,English,75,13,Yes,,2,130,Mobile,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-02-03,Q9,Math,66,20,No,,2,70,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-06-13,Q3,Math,75,8,Yes,,2,156,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-03-11,Q17,Math,95,17,No,85.0,3,159,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-02-10,Q17,Science,85,5,Yes,,4,72,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-02-26,Q20,Science,58,22,Yes,,4,63,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-03-04,Q7,Geography,82,14,Yes,65.0,4,57,Mobile,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-05-05,Q4,Science,88,22,No,,3,54,Mobile,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-07-03,Q1,History,63,16,No,,2,98,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-05-25,Q16,Geography,84,11,No,62.0,4,57,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-04-04,Q2,English,61,14,Yes,96.0,2,127,Mobile,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-06-29,Q15,History,71,22,Yes,87.0,2,77,Mobile,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-05-22,Q19,Math,95,18,No,60.0,2,84,Mobile,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-05-23,Q16,Science,95,23,Yes,82.0,3,122,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-07-10,Q19,Science,86,24,No,68.0,2,168,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-05-06,Q10,Geography,77,9,Yes,,4,52,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-03-16,Q19,Geography,87,7,No,,4,134,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-05-24,Q13,Geography,55,6,Yes,,4,64,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-07-28,Q14,English,73,19,Yes,63.0,3,158,Desktop,4.0,Suggestion,2025-03-20,Neutral
c3010031-94c7-4115-8cf8-2b048ed695ea,39,Male,Non-ND,2025-01-03,Premium,40.49767156420348,0.8596090556450982,0.40835598505262377,38,65.9533861702858,85.879583127064,83.97106530269136,86.23843751466295,60.86215308901835,2025-07-02,Q20,Geography,61,10,Yes,73.0,3,167,Mobile,4.0,Suggestion,2025-03-20,Neutral
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-05-18,Q17,History,96,22,No,,2,134,Mobile,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-05-03,Q19,English,74,18,Yes,64.0,2,78,Desktop,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-04-17,Q12,Math,78,16,No,75.0,2,81,Mobile,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-01-20,Q18,Science,90,15,No,99.0,3,82,Desktop,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-01-05,Q14,Geography,92,5,No,,2,79,Mobile,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-01-17,Q12,Science,81,10,No,,3,121,Mobile,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-04-03,Q1,Geography,66,18,No,,3,96,Desktop,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-04-05,Q13,History,85,10,No,,4,83,Desktop,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-06-28,Q5,History,66,5,Yes,98.0,3,57,Desktop,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-07-25,Q19,Science,89,24,Yes,81.0,3,34,Mobile,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-01-16,Q11,Science,60,7,Yes,66.0,4,44,Desktop,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-01-21,Q16,Science,72,24,Yes,96.0,4,65,Desktop,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-05-27,Q13,Math,52,9,No,68.0,2,85,Mobile,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-04-09,Q6,History,71,13,No,79.0,2,110,Desktop,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-02-08,Q19,History,66,17,Yes,,3,70,Desktop,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-03-09,Q14,Math,81,15,Yes,,4,42,Mobile,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-06-09,Q12,Geography,53,11,No,,4,135,Desktop,,,,
2e886a78-bfb0-4bf4-801e-f55ebc60b300,37,Male,Non-ND,2024-04-24,Free,67.03999853396037,0.7745101268331707,0.6155694945372637,30,65.54514253739639,60.44149381157432,65.24498180140347,63.803482171074094,58.8039585326228,2025-05-27,Q10,Math,71,10,No,88.0,2,53,Mobile,,,,
a793b629-7b7e-4161-a505-ddb9b414a1ba,34,Male,Non-ND,2020-12-17,Premium,77.70497503985035,0.6487603370452291,0.6190053752468949,30,77.92097515644137,75.03934411141164,74.8251684209421,60.705052164828366,80.64094139039969,2025-03-26,Q8,Math,78,23,Yes,,2,115,Desktop,,,,
a793b629-7b7e-4161-a505-ddb9b414a1ba,34,Male,Non-ND,2020-12-17,Premium,77.70497503985035,0.6487603370452291,0.6190053752468949,30,77.92097515644137,75.03934411141164,74.8251684209421,60.705052164828366,80.64094139039969,2025-06-16,Q18,Math,97,6,Yes,68.0,4,148,Mobile,,,,
a793b629-7b7e-4161-a505-ddb9b414a1ba,34,Male,Non-ND,2020-12-17,Premium,77.70497503985035,0.6487603370452291,0.6190053752468949,30,77.92097515644137,75.03934411141164,74.8251684209421,60.705052164828366,80.64094139039969,2025-06-05,Q8,Science,70,22,Yes,96.0,4,117,Mobile,,,,
a793b629-7b7e-4161-a505-ddb9b414a1ba,34,Male,Non-ND,2020-12-17,Premium,77.70497503985035,0.6487603370452291,0.6190053752468949,30,77.92097515644137,75.03934411141164,74.8251684209421,60.705052164828366,80.64094139039969,2025-04-29,Q14,Geography,74,8,No,,3,36,Desktop,,,,
a793b629-7b7e-4161-a505-ddb9b414a1ba,34,Male,Non-ND,2020-12-17,Premium,77.70497503985035,0.6487603370452291,0.6190053752468949,30,77.92097515644137,75.03934411141164,74.8251684209421,60.705052164828366,80.64094139039969,2025-03-17,Q1,Science,70,22,No,,3,125,Mobile,,,,
